{'timestamp': '2025-12-01T02:09:24.415141', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '192.168.0.106', 'destination_ip': None, 'description': 'High connection rate: 50/min', 'details': {'connections_per_minute': 50, 'threshold': 50}}
{'timestamp': '2025-12-01T02:09:34.373819', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '140.82.113.21', 'destination_ip': None, 'description': 'High connection rate: 50/min', 'details': {'connections_per_minute': 50, 'threshold': 50}}
{'timestamp': '2025-12-01T02:10:34.493480', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '192.168.0.106', 'destination_ip': None, 'description': 'High connection rate: 50/min', 'details': {'connections_per_minute': 50, 'threshold': 50}}
{'timestamp': '2025-12-01T02:10:41.434930', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '140.82.114.22', 'destination_ip': None, 'description': 'High connection rate: 50/min', 'details': {'connections_per_minute': 50, 'threshold': 50}}
{'timestamp': '2025-12-01T02:31:28.325862', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '192.168.0.106', 'destination_ip': None, 'description': 'High connection rate: 50/min', 'details': {'connections_per_minute': 50, 'threshold': 50}}
{'timestamp': '2025-12-01T02:31:52.786673', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '140.82.113.21', 'destination_ip': None, 'description': 'High connection rate: 50/min', 'details': {'connections_per_minute': 50, 'threshold': 50}}
{'timestamp': '2025-12-01T02:31:55.455245', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '203.171.247.10', 'destination_ip': None, 'description': 'High connection rate: 50/min', 'details': {'connections_per_minute': 50, 'threshold': 50}}
{'timestamp': '2025-12-01T02:31:57.470116', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '8.8.8.8', 'destination_ip': None, 'description': 'High connection rate: 50/min', 'details': {'connections_per_minute': 50, 'threshold': 50}}
{'timestamp': '2025-12-01T02:33:55.973969', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '192.168.0.106', 'destination_ip': None, 'description': 'High connection rate: 50/min', 'details': {'connections_per_minute': 50, 'threshold': 50}}
{'timestamp': '2025-12-01T02:36:37.515553', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '192.168.0.106', 'destination_ip': None, 'description': 'High connection rate: 50/min', 'details': {'connections_per_minute': 50, 'threshold': 50}}
{'timestamp': '2025-12-01T02:36:39.134929', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '203.171.247.10', 'destination_ip': None, 'description': 'High connection rate: 50/min', 'details': {'connections_per_minute': 50, 'threshold': 50}}
{'timestamp': '2025-12-01T02:36:50.858562', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '8.8.8.8', 'destination_ip': None, 'description': 'High connection rate: 50/min', 'details': {'connections_per_minute': 50, 'threshold': 50}}
{'timestamp': '2025-12-01T02:37:20.450799', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '140.82.112.21', 'destination_ip': None, 'description': 'High connection rate: 50/min', 'details': {'connections_per_minute': 50, 'threshold': 50}}
{'timestamp': '2025-12-01T02:37:26.407577', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '13.107.246.58', 'destination_ip': None, 'description': 'High connection rate: 50/min', 'details': {'connections_per_minute': 50, 'threshold': 50}}
{'timestamp': '2025-12-01T02:47:27.987373', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '192.168.0.106', 'destination_ip': None, 'description': 'High connection rate: 50/min', 'details': {'connections_per_minute': 50, 'threshold': 50}}
{'timestamp': '2025-12-01T02:47:28.020505', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '13.107.246.58', 'destination_ip': None, 'description': 'High connection rate: 50/min', 'details': {'connections_per_minute': 50, 'threshold': 50}}
{'timestamp': '2025-12-01T02:48:01.607782', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '8.8.4.4', 'destination_ip': None, 'description': 'High connection rate: 50/min', 'details': {'connections_per_minute': 50, 'threshold': 50}}
{'timestamp': '2025-12-01T02:48:35.069644', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '192.168.0.106', 'destination_ip': None, 'description': 'High connection rate: 196/min', 'details': {'connections_per_minute': 196, 'threshold': 50}}
{'timestamp': '2025-12-01T02:49:11.427946', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '23.223.245.197', 'destination_ip': None, 'description': 'High connection rate: 50/min', 'details': {'connections_per_minute': 50, 'threshold': 50}}
{'timestamp': '2025-12-01T02:49:12.247604', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '203.171.247.17', 'destination_ip': None, 'description': 'High connection rate: 50/min', 'details': {'connections_per_minute': 50, 'threshold': 50}}
